ActivityLevel,CourseName,CourseNumber,CoursePaidTime,CourseParkTime,CoursePreparationTime,CourseStartTimeLocal,CourseStartTimeUTC,CourseType,CourseUid,Destination,DestinationName,DisplayGroupId,FastTrackedTime,FirstDisplayTime,FirstStoreTime,FirstTenderTime,FirstViewedTime,FoodDeliveredTime,InsertDate,ItemCategory,ItemCookStartTime,ItemCookTime,ItemDescription,ItemId,ItemNumber,ItemQuantity,ItemTagTime,ItemUID,LastBumpTime,LastPreparedTime,LastRecallTime,LastTotalTime,LastUnbumpTime,Modifier1Id,Modifier2Id,Modifier3Id,ParentItemNumber,PriorityStatusReached,PriorityTime,RemakeTime,RushStatusReached,RushTime,ServerId,ServerName,SoSTag,StationType,seat,TerminalNumber,TimeStampLocal,TimeStampUTC,TopLevelItem,TransactionNumber,TransactionStartTimeLocal,TransactionStartTimeUIC,TransactionUID,UID,ViewId,ViewName,Token
1,ENTREES,2,-1,-1,785,2022-03-28T18:02:23.25,2022-03-28T23:02:23.25,Entree,2f948cb6-31e1-499d-af62-b183afd7e2be,1,Dining Room,1,0,29,-1,1,29,-1,2022-03-28T23:19:07.295582,5190,49,1,Milk Allergy,5190,11,1,-1,3c18b602-38e0-4ad5-b387-26436ef6cfe3,822,-1,-1,-1,-1,0,0,0,9,FALSE,0,0,FALSE,0,633,ROCKY A,S07V107,Prep,42,6,2022-03-28T18:16:06.156,2022-03-28T23:16:06.156,FALSE,301,2022-03-28T18:02:23.249,0001-01-01T00:00:00,2647e691-6c5c-4db5-8519-abf83d1be13b,98874da5-672c-402e-8acf-60ee956bbfd3,7,SALAD,2022-03-28 18:16:06.156000_98874da5-672c-402e-8acf-60ee956bbfd3
1,ENTREES,3,-1,-1,818,2022-03-28T18:05:52.077,2022-03-28T23:05:52.077,Entree,37b9faa6-b17f-4ed4-9d7b-e83a7f4be988,1,Dining Room,1,0,389,-1,0,389,-1,2022-03-28T23:19:07.326333,3846,404,429,*KidGrlChs Sand,3846,3,1,-1,6905a226-dcf7-4ec2-afc3-d2ada6660653,660,-1,-1,-1,-1,0,0,0,0,FALSE,0,0,FALSE,0,643,VIKTOR E,S10V110,Prep,96,10,2022-03-28T18:16:53.054,2022-03-28T23:16:53.054,TRUE,291,2022-03-28T17:46:51.294,0001-01-01T00:00:00,d47069cf-e62e-4c8c-a69c-1eb4bc4bc44e,18155d37-6fcd-4f18-ad20-8e0b7de53784,10,GRILL,2022-03-28 18:16:53.054000_18155d37-6fcd-4f18-ad20-8e0b7de53784
1,ENTREES,3,-1,-1,818,2022-03-28T18:05:52.077,2022-03-28T23:05:52.077,Entree,37b9faa6-b17f-4ed4-9d7b-e83a7f4be988,1,Dining Room,1,0,389,-1,0,389,-1,2022-03-28T23:19:07.326333,5480,404,1,Kid Fruit Acmp,5480,4,1,-1,55a74a5e-af31-42dc-b5a9-38e96d446e53,660,-1,-1,-1,-1,0,0,0,3,FALSE,0,0,FALSE,0,643,VIKTOR E,S10V110,Prep,96,10,2022-03-28T18:16:53.057,2022-03-28T23:16:53.057,FALSE,291,2022-03-28T17:46:51.294,0001-01-01T00:00:00,d47069cf-e62e-4c8c-a69c-1eb4bc4bc44e,f4e5c955-97de-466e-b49a-b36e1779cf4d,10,GRILL,2022-03-28 18:16:53.057000_f4e5c955-97de-466e-b49a-b36e1779cf4d
1,ENTREES,3,-1,-1,818,2022-03-28T18:05:52.077,2022-03-28T23:05:52.077,Entree,37b9faa6-b17f-4ed4-9d7b-e83a7f4be988,1,Dining Room,1,0,389,-1,0,389,-1,2022-03-28T23:19:07.35695,3846,614,429,*KidGrlChs Sand,3846,3,1,-1,6905a226-dcf7-4ec2-afc3-d2ada6660653,677,-1,-1,-1,-1,0,0,0,0,FALSE,0,0,FALSE,0,643,VIKTOR E,S07V107,Prep,96,10,2022-03-28T18:17:09.552,2022-03-28T23:17:09.552,TRUE,291,2022-03-28T17:46:51.294,0001-01-01T00:00:00,d47069cf-e62e-4c8c-a69c-1eb4bc4bc44e,8181f4c1-fe2b-4f91-81a1-24b5307f55bf,7,SALAD,2022-03-28 18:17:09.552000_8181f4c1-fe2b-4f91-81a1-24b5307f55bf
1,ENTREES,3,-1,-1,818,2022-03-28T18:05:52.077,2022-03-28T23:05:52.077,Entree,37b9faa6-b17f-4ed4-9d7b-e83a7f4be988,1,Dining Room,1,0,389,-1,0,389,-1,2022-03-28T23:19:07.35695,5480,614,1,Kid Fruit Acmp,5480,4,1,-1,55a74a5e-af31-42dc-b5a9-38e96d446e53,677,-1,-1,-1,-1,0,0,0,3,FALSE,0,0,FALSE,0,643,VIKTOR E,S07V107,Prep,96,10,2022-03-28T18:17:09.559,2022-03-28T23:17:09.559,FALSE,291,2022-03-28T17:46:51.294,0001-01-01T00:00:00,d47069cf-e62e-4c8c-a69c-1eb4bc4bc44e,6944d0e4-81c3-4dbb-908d-7baed5808dd6,7,SALAD,2022-03-28 18:17:09.559000_6944d0e4-81c3-4dbb-908d-7baed5808dd6
1,ENTREES,3,-1,-1,623,2022-03-28T18:07:03.824,2022-03-28T23:07:03.824,Entree,646e6064-bc98-4ac3-812b-5619768fd8f8,1,Dining Room,1,0,0,-1,0,0,-1,2022-03-28T23:20:08.906218,2703,3,623,Chipotle Pasta,2703,2,1,-1,88b70ecf-e03e-40ad-8238-ac5e6ff75720,698,-1,-1,-1,-1,0,0,0,0,TRUE,73,0,FALSE,0,83,CHELCI W,S14V114,Prep,72,12,2022-03-28T18:18:41.916,2022-03-28T23:18:41.916,TRUE,300,2022-03-28T18:00:31.867,0001-01-01T00:00:00,a01bc283-d425-421b-8341-98f6102a24e2,617e6d37-b29d-40e3-8605-684b8c87045e,14,PASTA,2022-03-28 18:18:41.916000_617e6d37-b29d-40e3-8605-684b8c87045e
1,ENTREES,4,-1,-1,461,2022-03-28T18:08:47.358,2022-03-28T23:08:47.358,Entree,9dbc8c58-1d9a-45d6-b9ad-6031464273ae,1,Dining Room,1,0,0,-1,0,0,-1,2022-03-28T23:24:17.930572,1733,60,461,Pomodoro,1733,2,1,-1,fc20f4a0-7416-422e-8b4f-0457dfe85af8,667,-1,-1,-1,-1,0,0,0,0,TRUE,204,0,FALSE,0,308,LATRESSA T,S14V114,Prep,91,10,2022-03-28T18:19:54.757,2022-03-28T23:19:54.757,TRUE,297,2022-03-28T17:56:34.698,0001-01-01T00:00:00,16af0494-fa57-442b-8121-908d36b0ae8b,0217f3ea-f595-4905-b3a6-43660af06687,14,PASTA,2022-03-28 18:19:54.757000_0217f3ea-f595-4905-b3a6-43660af06687
1,ENTREES,4,-1,-1,461,2022-03-28T18:08:47.358,2022-03-28T23:08:47.358,Entree,9dbc8c58-1d9a-45d6-b9ad-6031464273ae,1,Dining Room,1,0,0,-1,0,0,-1,2022-03-28T23:24:17.930572,1733,60,461,Pomodoro,1733,3,1,-1,26a7e66a-c50e-4b81-967d-615205771253,668,-1,-1,-1,-1,0,0,0,0,TRUE,205,0,FALSE,0,308,LATRESSA T,S14V114,Prep,91,10,2022-03-28T18:19:55.492,2022-03-28T23:19:55.492,TRUE,297,2022-03-28T17:56:34.698,0001-01-01T00:00:00,16af0494-fa57-442b-8121-908d36b0ae8b,6c905718-eabf-465d-b1b8-83301a355ab9,14,PASTA,2022-03-28 18:19:55.492000_6c905718-eabf-465d-b1b8-83301a355ab9
1,ENTREES,1,-1,-1,1032,2022-03-28T18:07:25.72,2022-03-28T23:07:25.72,Entree,10a8874f-93d8-4992-9408-e807c091de34,9,DELIVERY,1,0,0,-1,0,0,-1,2022-03-28T23:24:17.832554,1424,8,1032,Classic,1424,4,1,-1,9912205c-dc29-4aeb-a5bc-687a57aa157d,792,-1,-1,-1,-1,0,0,0,0,FALSE,0,0,FALSE,0,985,FRED D,S09V109,Prep,998,1,2022-03-28T18:20:38.096,2022-03-28T23:20:38.096,TRUE,309,2022-03-28T18:07:25.72,0001-01-01T00:00:00,8458ee81-4a98-4715-bd3a-e5bfd541bcf8,ae03ef55-39de-4515-a6b1-088adfdd55fb,9,BROILER,2022-03-28 18:20:38.096000_ae03ef55-39de-4515-a6b1-088adfdd55fb
1,ENTREES,1,-1,-1,1032,2022-03-28T18:07:25.72,2022-03-28T23:07:25.72,Entree,10a8874f-93d8-4992-9408-e807c091de34,9,DELIVERY,1,0,0,-1,0,0,-1,2022-03-28T23:24:17.832554,4247,8,1,XBacon,4247,5,1,-1,73cb6ed9-350f-45c5-900c-68f16edbe500,792,-1,-1,-1,-1,0,0,0,4,FALSE,0,0,FALSE,0,985,FRED D,S09V109,Prep,998,1,2022-03-28T18:20:38.1,2022-03-28T23:20:38.1,FALSE,309,2022-03-28T18:07:25.72,0001-01-01T00:00:00,8458ee81-4a98-4715-bd3a-e5bfd541bcf8,b2b605b7-c3e3-407d-866b-dc94c80efef9,9,BROILER,2022-03-28 18:20:38.100000_b2b605b7-c3e3-407d-866b-dc94c80efef9
